Maja Ognjenoviæ;https://dl.siatkarskaliga.pl/69481/inline/scalecrop=400x400/4a7c1e/Ognjenovic.jpg;https://www.tauronliga.pl/players/id/85825.html; 06.08.1984;Rozgrywaj¹ca; 183; 68; 300
Daria Paszek;https://dl.siatkarskaliga.pl/69490/inline/scalecrop=400x400/6e3c48/09_Paszek.jpg;https://www.tauronliga.pl/players/id/85677.html; 30.08.1991;Przyjmuj¹ca; 185; 74; 308
Sylwia Pelc;https://dl.siatkarskaliga.pl/69459/inline/scalecrop=400x400/feea25/Sylwia-Pelc.jpg;https://www.tauronliga.pl/players/id/85683.html; 30.11.1990;Œrodkowa; 0; 0; 0
Magdalena Pi¹tek;https://dl.siatkarskaliga.pl/69524/inline/scalecrop=400x400/13082c/img_2512.jpg;https://www.tauronliga.pl/players/id/85699.html; 10.09.1984;Atakuj¹ca; 182; 79; 295
Zuzanna Pieczka;https://dl.siatkarskaliga.pl/69440/inline/scalecrop=400x400/9c13e8/Zuzanna-Pieczka.jpg;https://www.tauronliga.pl/players/id/88251.html; 11.10.1995;Atakuj¹ca; 181; 75; 300
Judith Pietersen;https://dl.siatkarskaliga.pl/69500/inline/scalecrop=400x400/cd39c2/5-pietersen-j.jpg;https://www.tauronliga.pl/players/id/88232.html; 03.07.1989;Atakuj¹ca; 188; 67; 309
Ivana Plchotova;https://dl.siatkarskaliga.pl/69532/inline/scalecrop=400x400/3ade97/img_2664.jpg;https://www.tauronliga.pl/players/id/85548.html; 28.11.1982;Œrodkowa; 192; 74; 307
Katarzyna Po³eæ;https://dl.siatkarskaliga.pl/69442/inline/scalecrop=400x400/8a8d2a/Katarzyna-Polec.jpg;https://www.tauronliga.pl/players/id/88252.html; 13.02.1989;Œrodkowa; 190; 65; 306
Joanna Prokop;https://dl.siatkarskaliga.pl/69465/inline/scalecrop=400x400/2f132a/Joanna-Prokop.jpg;https://www.tauronliga.pl/players/id/85768.html; 27.01.1994;Libero; 182; 73; 287
Monika Ptak;https://dl.siatkarskaliga.pl/69415/inline/scalecrop=400x400/b69ec0/Martalek.jpg;https://www.tauronliga.pl/players/id/85676.html; 14.05.1990;Œrodkowa; 187; 77; 309
Agata Pura;https://dl.siatkarskaliga.pl/69450/inline/scalecrop=400x400/6b39e4/Agata-Karczmarzewska-Pura.jpg;https://www.tauronliga.pl/players/id/85623.html; 27.06.1978;Przyjmuj¹ca; 188; 76; 300
Sylwia Pycia;https://dl.siatkarskaliga.pl/69516/inline/scalecrop=400x400/6fde52/PyciaSylwia.jpg;https://www.tauronliga.pl/players/id/85545.html; 20.04.1981;Œrodkowa; 190; 79; 312
Bogumi³a Pyzio³ek;https://dl.siatkarskaliga.pl/69420/inline/scalecrop=400x400/9dc60e/Pyziolek.jpg;https://www.tauronliga.pl/players/id/85653.html; 01.12.1986;Przyjmuj¹ca; 178; 68; 298
Justyna Raczyñska;https://dl.siatkarskaliga.pl/69479/inline/scalecrop=400x400/dae2e0/raczynska.jpg;https://www.tauronliga.pl/players/id/88238.html; 12.09.1987;Przyjmuj¹ca; 0; 0; 0
Bojana Radulovic;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/91278.html; 03.01.1984;Rozgrywaj¹ca; 0; 0; 0
Tamara Rakiæ;https://dl.siatkarskaliga.pl/69429/inline/scalecrop=400x400/f7bf60/rakic.JPG;https://www.tauronliga.pl/players/id/88273.html; 22.09.1987;Przyjmuj¹ca; 188; 71; 307
Olga Raoniæ;https://dl.siatkarskaliga.pl/69427/inline/scalecrop=400x400/11cea7/raonic.JPG;https://www.tauronliga.pl/players/id/88271.html; 31.12.1986;Rozgrywaj¹ca; 184; 68; 294
Karolina Ró¿ycka;https://dl.siatkarskaliga.pl/69522/inline/scalecrop=400x400/045c48/img_2583.jpg;https://www.tauronliga.pl/players/id/85691.html; 28.06.1985;Przyjmuj¹ca; 183; 81; 305
Anna Rybaczewska;https://dl.siatkarskaliga.pl/69433/inline/scalecrop=400x400/cf2cbb/rybaczewska.JPG;https://www.tauronliga.pl/players/id/88275.html; 23.03.1982;Przyjmuj¹ca; 186; 73; 303
Magdalena Saad;https://dl.siatkarskaliga.pl/69432/inline/scalecrop=400x400/ee4d7d/saad.JPG;https://www.tauronliga.pl/players/id/85624.html; 14.05.1985;Libero; 168; 56; 285
Agata Sawicka;https://dl.siatkarskaliga.pl/69474/inline/scalecrop=400x400/176a1f/sawicka.jpg;https://www.tauronliga.pl/players/id/85618.html; 17.01.1985;Libero; 181; 74; 295
Jana Sawoczkina;https://dl.siatkarskaliga.pl/69447/inline/scalecrop=400x400/fa525e/Iana-Savochkina.jpg;https://www.tauronliga.pl/players/id/85660.html; 28.07.1974;Rozgrywaj¹ca; 166; 52; 282
Julia Shelukhina;https://dl.siatkarskaliga.pl/69502/inline/scalecrop=400x400/51128b/7-shelukhina-y.jpg;https://www.tauronliga.pl/players/id/85694.html; 30.04.1979;Œrodkowa; 192; 74; 315
Aleksandra Sikorska;https://dl.siatkarskaliga.pl/69520/inline/scalecrop=400x400/3ce536/SikorskaOla.jpg;https://www.tauronliga.pl/players/id/85792.html; 28.04.1993;Œrodkowa; 186; 76; 311
Ma³gorzata Skorupa;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85645.html; 16.09.1984;Œrodkowa; 181; 69; 287
El¿bieta Skowroñska;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85577.html; 06.07.1983;Przyjmuj¹ca; 183; 71; 303
Natalia Skrzypkowska;https://dl.siatkarskaliga.pl/69513/inline/scalecrop=400x400/6cd872/NuszelNatalia.jpg;https://www.tauronliga.pl/players/id/85574.html; 23.02.1989;Przyjmuj¹ca; 178; 72; 293
Dominika Sobolska;https://dl.siatkarskaliga.pl/69468/inline/scalecrop=400x400/f91572/sobolska.jpg;https://www.tauronliga.pl/players/id/85686.html; 03.12.1991;Œrodkowa; 188; 80; 319
Joanna Staniucha-Szczurek;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85590.html; 05.12.1981;Przyjmuj¹ca; 184; 73; 305
Krystyna Strasz;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85594.html; 24.07.1987;Libero; 165; 58; 230
Paulina Stroiw¹s;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85801.html; 17.05.1994;Œrodkowa; 197; 87; 307
Natalia Strózik;https://dl.siatkarskaliga.pl/69462/inline/scalecrop=400x400/693aa5/Natalia-Strozik.jpg;https://www.tauronliga.pl/players/id/88269.html; 23.08.1995;Przyjmuj¹ca; 185; 70; 306
Katarzyna Sza³ankiewicz;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85775.html; 30.10.1987;Przyjmuj¹ca; 179; 79; 302
Emilia Szubert;https://dl.siatkarskaliga.pl/69485/inline/scalecrop=400x400/713dd0/04_Kajzer.jpg;https://www.tauronliga.pl/players/id/85786.html; 10.03.1992;Rozgrywaj¹ca; 180; 64; 288
