I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b≥Ídy zagrywka;as;eff%;liczba;b≥Ídy przyjÍcie;poz%;perf%;liczba1;b≥Ídy atak;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
*;*;*;;;-;0;0;-3;4;1;0;-25%;0;0;-;-;2;0;2;0;0%;-100%;0;0;22 Sylwia Kucharska ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
6;6;6;;;-;12;3;10;4;1;0;-25%;0;0;-;-;10;0;1;8;80%;70%;4;4;2 Gabriela PolaÒska ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
4;4;4;;;-;16;4;9;6;4;0;-50%;0;0;-;-;31;2;1;15;48%;39%;1;2;3 Kiera Van Ryk ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
*;;*;;;-;0;0;0;3;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;4 Magdalena Grabka ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
1;1;1;;;-;2;2;2;13;0;0;8%;0;0;-;-;0;0;0;0;-;-;2;0;5 Marta £yczakowska ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
;*;*;;;-;3;1;2;1;1;0;-100%;0;0;-;-;4;0;0;3;75%;75%;0;0;6 Aleksandra RasiÒska ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
2;2;2;;;-;9;5;9;17;0;1;6%;22;0;45%;23%;15;0;0;5;33%;33%;3;3;7 Jelena BlagojeviÊ ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
;*;*;;;-;2;1;2;1;0;0;0%;0;0;-;-;1;0;0;1;100%;100%;1;1;8 Anna Obia≥a ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
;*;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;9 Anna Kaczmar ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
3;3;3;;;-;6;5;5;15;1;0;-7%;0;0;-;-;8;0;0;3;38%;38%;3;3;10 Zuzanna Efimienko-M≥otkowska ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
