I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b≥Ídy zagrywka;as;eff%;liczba;b≥Ídy przyjÍcie;poz%;perf%;liczba1;b≥Ídy atak;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
*;6;6;6;;-;1;1;-1;7;1;1;0%;0;0;-;-;2;0;1;0;0%;-50%;0;0;7 Magdalena Mazurek ;Polskie Przetwory Pa≥ac Bydgoszcz;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;*;*;*;;-;0;0;-1;0;0;0;-;14;1;57%;36%;0;0;0;0;-;-;0;0;8 Magdalena Saad (L);Polskie Przetwory Pa≥ac Bydgoszcz;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
4;4;4;4;;-;9;5;-3;16;0;1;6%;36;2;69%;50%;32;7;3;6;19%;-12%;2;1;9 Zuzanna Wawrzyniak ;Polskie Przetwory Pa≥ac Bydgoszcz;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
1;1;1;1;;-;15;7;3;12;2;0;-8%;25;1;84%;52%;33;5;4;13;39%;12%;2;1;10 Mariana Cassemiro ;Polskie Przetwory Pa≥ac Bydgoszcz;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;11 Paulina Majkowska ;Polskie Przetwory Pa≥ac Bydgoszcz;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
5;5;5;5;;-;7;3;1;10;2;1;-10%;4;0;75%;25%;10;3;1;3;30%;-10%;3;5;13 Kinga RÛøyÒska ;Polskie Przetwory Pa≥ac Bydgoszcz;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
;*;;*;;-;3;0;1;2;1;0;-50%;0;0;-;-;8;1;0;3;38%;25%;0;0;15 Majka SzczepaÒska-Pogoda ;Polskie Przetwory Pa≥ac Bydgoszcz;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
6;;*;*;;-;1;0;0;7;1;0;0%;0;0;-;-;0;0;0;0;-;-;1;1;17 Paulina Ba≥dyga ;Polskie Przetwory Pa≥ac Bydgoszcz;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
2;2;2;2;;-;8;4;3;8;1;0;-12%;0;0;-;-;16;2;2;6;38%;12%;2;0;18 Leticia Hage ;Polskie Przetwory Pa≥ac Bydgoszcz;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;1;0;0;0;0%;0%;0;0;4 Aleksandra SzczepaÒska ;E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;*;*;*;;-;0;0;0;0;0;0;-;13;0;77%;23%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
4;1;1;4;;-;6;0;-5;12;2;0;-17%;24;4;54%;42%;18;5;0;5;28%;0%;1;1;6 Aleksandra WÛjcik ;E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
3;6;6;3;;-;14;5;3;14;1;1;0%;0;0;-;-;38;3;7;10;26%;0%;3;2;8 Katarzyna ZaroúliÒska-KrÛl ;E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
5;2;2;5;;-;8;5;7;20;0;1;10%;0;0;-;-;12;1;0;5;42%;33%;2;2;9 Freya Aelbrecht ;E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
2;5;5;2;;-;10;6;4;12;1;0;-8%;0;0;-;-;14;4;1;6;43%;7%;4;5;10 Zuzanna Efimienko-M≥otkowska ;E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
1;4;4;1;;-;10;5;3;7;3;0;-43%;27;0;59%;33%;20;2;2;7;35%;15%;3;1;12 Alexandra LaziÊ ;E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;*;*;;;-;1;0;0;4;1;0;-25%;7;0;71%;29%;2;0;0;1;50%;50%;0;0;13 Renata Bia≥a (L);E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;15 Kornelia Moskwa ;E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
6;3;3;6;;-;7;4;7;18;0;2;11%;0;0;-;-;2;0;0;2;100%;100%;3;2;18 Katarzyna Skorupa ;E.LECLERC MOYA Radomka Radom;"
							10.12.2021, 17:30Polskie Przetwory Pa≥ac Bydgoszcz-1:3-E.LECLERC MOYA Radomka Radom";"
							10.12.2021, 17:30
					";2021/2022;zasadnicza;12
1;5;;*;;-;1;0;-1;2;0;0;0%;5;1;40%;40%;8;0;1;1;13%;0%;0;1;2 Martyna Grajber ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
*;*;*;;;-;0;0;-1;0;0;0;-;9;1;33%;0%;0;0;0;0;-;-;0;0;3 Paulina Maj-Erwardt (L);£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
;;5;2;;-;3;2;3;11;0;1;27%;0;0;-;-;2;0;0;1;50%;50%;1;0;4 Joanna Pacak ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
*;*;1;;;-;5;1;3;6;0;0;50%;17;1;53%;24%;8;0;1;5;63%;50%;0;0;5 Pietra Jukoski ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
2;6;2;5;;-;11;6;9;10;1;0;-10%;0;0;-;-;15;1;0;8;53%;47%;3;6;6 Kamila Witkowska ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
6;4;6;3;;-;22;8;17;14;0;0;7%;0;0;-;-;41;2;3;21;51%;39%;1;2;8 Weronika Sobiczewska ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
;;;*;;-;0;0;-1;0;0;0;-;0;0;-;-;2;0;1;0;0%;-50%;0;0;11 Ivna Colombo ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
3;*;3;6;;-;1;1;-2;9;2;0;-22%;1;1;0%;0%;0;0;0;0;-;-;1;1;12 Roberta Ratzke ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
;;*;*;;-;0;0;0;0;0;0;-;10;0;40%;20%;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
*;1;;;;-;1;1;1;3;0;0;0%;0;0;-;-;2;0;0;1;50%;50%;0;0;14 Angelika Gajer ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
5;3;;;;-;1;0;1;4;0;0;25%;0;0;-;-;2;0;0;1;50%;50%;0;2;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
*;*;4;1;;-;9;4;4;13;0;2;31%;17;2;47%;12%;16;3;0;6;38%;19%;1;1;18 Julita Piasecka ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
4;2;*;4;;-;12;6;7;6;2;2;0%;25;3;32%;8%;19;0;0;10;53%;53%;0;1;21 Veronica Jones-Perry ;£KS Commercecon £Ûdü;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
1;1;1;1;;-;19;10;15;15;2;2;20%;27;0;33%;15%;28;0;2;15;54%;46%;2;1;3 Karolina Druøkowska ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
;*;*;;;-;0;0;0;1;0;0;0%;4;0;25%;0%;1;0;0;0;0%;0%;0;0;8 Ewelina Øurowska ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;2;0;0;0;0%;0%;0;0;9 Oriana Miechowicz ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
5;5;5;5;;-;11;4;11;21;0;2;28%;0;0;-;-;15;0;0;9;60%;60%;0;5;11 Justyna £ukasik ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
3;3;3;3;;-;14;6;11;14;1;1;0%;0;0;-;-;25;0;2;12;48%;40%;1;0;12 Monika Ga≥kowska ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
;;*;;;-;1;0;1;0;0;0;-;1;0;100%;100%;1;0;0;1;100%;100%;0;0;13 Emilia Mucha ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
2;2;2;2;;-;3;2;0;13;2;0;0%;0;0;-;-;7;0;1;3;43%;28%;0;1;14 Aleksandra Cygan ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
;;;*;;-;0;0;-1;0;0;0;-;2;1;50%;50%;0;0;0;0;-;-;0;0;15 Kinga WysokiÒska (L);Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
*;*;*;*;;-;0;0;-1;0;0;0;-;12;1;25%;8%;0;0;0;0;-;-;0;0;16 Oliwia Ba≥uk (L);Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
4;4;4;4;;-;20;8;12;16;2;2;12%;27;3;37%;15%;32;1;2;17;53%;44%;1;1;18 Aleksandra Dudek ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
*;;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;22 Sylwia Kucharska ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
6;6;6;6;;-;6;4;6;10;0;2;20%;0;0;-;-;4;0;0;2;50%;50%;2;1;23 Natalia Gajewska ;Energa MKS Kalisz;"
							11.12.2021, 19:00£KS Commercecon £Ûdü-1:3-Energa MKS Kalisz";"
							11.12.2021, 19:00
					";2021/2022;zasadnicza;12
1;1;1;1;1;-;10;3;1;9;2;0;-11%;17;2;35%;6%;29;1;4;10;34%;17%;0;5;1 Aleksandra Kaza≥a ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
6;6;6;6;6;-;4;0;2;15;1;0;-7%;1;1;0%;0%;7;0;0;4;57%;56%;0;1;3 Ewelina Polak ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;*;*;*;*;-;5;3;2;9;2;2;0%;10;0;20%;10%;5;1;0;2;40%;20%;1;0;5 Martyna Borowczak ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Julia Mazur (L);BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
5;5;5;5;5;-;5;1;0;7;2;0;-28%;2;0;0%;0%;13;2;1;4;31%;8%;1;2;8 Magdalena Janiuk ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;;;*;;-;0;0;-2;1;1;0;-100%;0;0;-;-;1;1;0;0;0%;-100%;0;0;10 Karina Chmielewska ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
2;2;2;2;2;-;6;1;3;12;3;0;-25%;0;0;-;-;8;0;0;5;63%;62%;1;2;11 Dominika Pierzcha≥a ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
;;*;*;*;-;0;0;-2;5;2;0;-40%;0;0;-;-;0;0;0;0;-;-;0;0;13 Martyna åwirad ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;*;*;*;*;-;0;0;-1;0;0;0;-;33;1;45%;15%;0;0;0;0;-;-;0;0;16 Kinga Drabek (L);BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Koleta £yszkiewicz ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
3;*;3;3;3;-;18;5;12;17;1;0;0%;0;0;-;-;34;4;1;15;44%;28%;3;1;18 Gabriela Orvosova ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;3;;;;-;1;1;-2;2;1;0;-50%;0;0;-;-;6;1;1;1;17%;-17%;0;0;19 Alina Bartkowska ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
4;4;4;4;4;-;19;6;6;12;2;0;-8%;42;2;52%;17%;48;3;6;16;33%;15%;3;0;22 Weronika Szlagowska ;BKS BOSTIK Bielsko-Bia≥a;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Gabriela PolaÒska ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
4;5;4;5;5;-;26;11;18;10;1;0;-10%;0;0;-;-;50;3;4;22;44%;30%;4;2;3 Bruna Honorio Marques ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Katarzyna Bagrowska ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
5;6;5;6;6;-;10;3;3;17;1;0;6%;12;0;42%;33%;31;4;2;10;32%;13%;0;2;7 Jelena BlagojeviÊ ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
6;1;6;1;;-;4;3;3;11;0;1;18%;0;0;-;-;14;1;0;2;14%;7%;1;1;8 Anna Obia≥a ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
1;2;1;2;2;-;1;1;0;13;1;1;0%;0;0;-;-;2;0;0;0;0%;0%;0;2;10 Katarzyna Wenerska ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;*;*;*;*;-;0;0;0;0;0;0;-;18;0;50%;11%;0;0;0;0;-;-;0;0;12 Aleksandra Szczyg≥owska (L);Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
;*;;*;1;-;6;4;6;3;0;0;0%;0;0;-;-;3;0;0;3;100%;100%;3;2;14 Dominika Witowska ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
;;;*;3;-;1;1;0;5;0;0;0%;9;1;56%;11%;6;0;0;1;17%;17%;0;0;15 Kara Bajema ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;*;;*;;-;7;2;7;1;0;0;0%;0;0;-;-;9;0;0;7;78%;78%;0;1;16 Izabella Rapacz ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;20 Daria Przyby≥a (L);Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
2;3;2;3;;-;14;6;7;15;1;1;0%;33;1;39%;9%;23;2;3;11;48%;26%;2;2;27 Ann Kalandadze ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
3;4;3;4;4;-;7;6;6;29;0;3;21%;0;0;-;-;3;1;0;1;33%;0%;3;1;95 Magdalena Jurczyk ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
*;*;;*;;-;0;0;-1;6;1;0;-17%;0;0;-;-;0;0;0;0;-;-;0;1;98 Julia BiÒczycka ;Developres BELLA DOLINA RzeszÛw;"
							11.12.2021, 17:30BKS BOSTIK Bielsko-Bia≥a-2:3-Developres BELLA DOLINA RzeszÛw";"
							11.12.2021, 17:30
					";2021/2022;zasadnicza;12
1;1;1;1;1;-;15;6;2;13;2;0;-8%;29;3;41%;17%;42;3;5;14;33%;14%;1;2;1 Aleksandra Kaza≥a ;BKS BOSTIK Bielsko-Bia≥a;"
							19.12.2021, 12:30BKS BOSTIK Bielsko-Bia≥a-3:2-Grupa Azoty Chemik Police";"
							19.12.2021, 12:30
					";2021/2022;zasadnicza;13
6;6;6;6;6;-;1;0;-1;17;1;0;0%;0;0;-;-;5;1;0;1;20%;0%;0;4;3 Ewelina Polak ;BKS BOSTIK Bielsko-Bia≥a;"
							19.12.2021, 12:30BKS BOSTIK Bielsko-Bia≥a-3:2-Grupa Azoty Chemik Police";"
							19.12.2021, 12:30
					";2021/2022;zasadnicza;13
*;*;*;*;*;-;2;2;0;11;2;2;0%;0;0;-;-;0;0;0;0;-;-;0;0;5 Martyna Borowczak ;BKS BOSTIK Bielsko-Bia≥a;"
							19.12.2021, 12:30BKS BOSTIK Bielsko-Bia≥a-3:2-Grupa Azoty Chemik Police";"
							19.12.2021, 12:30
					";2021/2022;zasadnicza;13
*;*;*;*;*;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Julia Mazur (L);BKS BOSTIK Bielsko-Bia≥a;"
							19.12.2021, 12:30BKS BOSTIK Bielsko-Bia≥a-3:2-Grupa Azoty Chemik Police";"
							19.12.2021, 12:30
					";2021/2022;zasadnicza;13
5;5;5;5;5;-;13;7;5;13;1;1;0%;1;1;0%;0%;18;3;3;7;39%;6%;5;7;8 Magdalena Janiuk ;BKS BOSTIK Bielsko-Bia≥a;"
							19.12.2021, 12:30BKS BOSTIK Bielsko-Bia≥a-3:2-Grupa Azoty Chemik Police";"
							19.12.2021, 12:30
					";2021/2022;zasadnicza;13
*;*;*;*;;-;1;1;-1;7;2;1;-14%;0;0;-;-;0;0;0;0;-;-;0;0;10 Karina Chmielewska ;BKS BOSTIK Bielsko-Bia≥a;"
							19.12.2021, 12:30BKS BOSTIK Bielsko-Bia≥a-3:2-Grupa Azoty Chemik Police";"
							19.12.2021, 12:30
					";2021/2022;zasadnicza;13
2;2;2;2;2;-;13;6;6;13;3;2;-8%;0;0;-;-;15;2;2;6;40%;13%;5;8;11 Dominika Pierzcha≥a ;BKS BOSTIK Bielsko-Bia≥a;"
							19.12.2021, 12:30BKS BOSTIK Bielsko-Bia≥a-3:2-Grupa Azoty Chemik Police";"
							19.12.2021, 12:30
					";2021/2022;zasadnicza;13
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Martyna åwirad ;BKS BOSTIK Bielsko-Bia≥a;"
							19.12.2021, 12:30BKS BOSTIK Bielsko-Bia≥a-3:2-Grupa Azoty Chemik Police";"
							19.12.2021, 12:30
					";2021/2022;zasadnicza;13
*;*;*;*;*;-;0;0;0;0;0;0;-;36;0;61%;28%;0;0;0;0;-;-;0;0;16 Kinga Drabek (L);BKS BOSTIK Bielsko-Bia≥a;"
							19.12.2021, 12:30BKS BOSTIK Bielsko-Bia≥a-3:2-Grupa Azoty Chemik Police";"
							19.12.2021, 12:30
					";2021/2022;zasadnicza;13
