Druzyna Home;Druzyna Away;Wynik Home;Wynik Away;Lokalizacja;Data meczu;Klucz;Sezon
Polski Cukier Muszynianka Fakro Bank BPS;KS Pa³ac Bydgoszcz;3;0;H;05.10.2013, 17:00;05.10.2013Polski Cukier Muszynianka Fakro Bank BPS-3:0-KS Pa³ac Bydgoszcz;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;KS Pa³ac Bydgoszcz;3;0;A;05.10.2013, 17:00;05.10.2013Polski Cukier Muszynianka Fakro Bank BPS-3:0-KS Pa³ac Bydgoszcz;2013/2014
BKS Aluprof Bielsko-Bia³a;Beef Master Budowlani £ódŸ;3;2;H;04.10.2013, 18:00;04.10.2013BKS Aluprof Bielsko-Bia³a-3:2-Beef Master Budowlani £ódŸ;2013/2014
BKS Aluprof Bielsko-Bia³a;Beef Master Budowlani £ódŸ;3;2;A;04.10.2013, 18:00;04.10.2013BKS Aluprof Bielsko-Bia³a-3:2-Beef Master Budowlani £ódŸ;2013/2014
Impel Wroc³aw;PGNiG Nafta Pi³a;3;0;H;06.10.2013, 14:45;06.10.2013Impel Wroc³aw-3:0-PGNiG Nafta Pi³a;2013/2014
Impel Wroc³aw;PGNiG Nafta Pi³a;3;0;A;06.10.2013, 14:45;06.10.2013Impel Wroc³aw-3:0-PGNiG Nafta Pi³a;2013/2014
KPS Chemik Police;PGNiG Nafta Pi³a;3;0;H;12.10.2013, 18:00;12.10.2013KPS Chemik Police-3:0-PGNiG Nafta Pi³a;2013/2014
KPS Chemik Police;PGNiG Nafta Pi³a;3;0;A;12.10.2013, 18:00;12.10.2013KPS Chemik Police-3:0-PGNiG Nafta Pi³a;2013/2014
Beef Master Budowlani £ódŸ;Impel Wroc³aw;0;3;H;12.10.2013, 18:00;12.10.2013Beef Master Budowlani £ódŸ-0:3-Impel Wroc³aw;2013/2014
Beef Master Budowlani £ódŸ;Impel Wroc³aw;0;3;A;12.10.2013, 18:00;12.10.2013Beef Master Budowlani £ódŸ-0:3-Impel Wroc³aw;2013/2014
